1,Use the chat window to say something to the Red Hat,100,2,2,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B787074000752656420486174
2,Press the Q key to see your active quests and objectives,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B787074000171
3,Press up arrow to move up,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B78707400025570
4,Press down arrow to move down,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B7870740004446F776E
5,Press left arrow to move left,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B78707400044C656674
6,Press right arrow to move right,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B78707400055269676874
7,Type 'man' in the terminal,100,2,7,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B78707400036D616E
8,Use 'E' to interact with the XP potion on the left bookcase,100,2,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F0000000000000001020001490006746172676574787000000007
9,Press 'E' to interact with the fireplace,100,2,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F0000000000000001020001490006746172676574787000000003
10,Press 'I' to open your closet to change clothing,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B787074000169
11,Press 'U' to view the shop,100,2,5,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B787074000175
1,Find the Rec Center,101,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B787074000D72656343656E7465722E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000001700000004
2,Find the Library,101,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B787074000B6C6962726172792E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000001800000030
3,Find the Secret Room!,101,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B787074000D72656343656E7465722E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F777870000000160000000D
1,"Find the NPC tutor in the Study Hall, and say 'Tutor' to greet them.",103,5,2,0xACED00057372001A63726974657269612E4372697465726961537472696E6744544F00000000000000010200014C0006737472696E677400124C6A6176612F6C616E672F537472696E673B78707400055475746F72
1,Rumor has it the recipe is pinned to a tree nearby.,104,2,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F0000000000000001020001490006746172676574787000000008
1,Red Flower,105,1,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F0000000000000001020001490006746172676574787000000009
2,Purple Flower,105,1,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F000000000000000102000149000674617267657478700000000A
3,Pink Flower,105,1,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F000000000000000102000149000674617267657478700000000B
4,Yellow Flower,105,1,6,0xACED00057372001B63726974657269612E4372697465726961496E746567657244544F000000000000000102000149000674617267657478700000000C
5,You got the ingredients for the tea! Go give them to TEAcher for his cup of tea!,105,1,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B7870740008717561642E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000002400000031
1,Stand in front of the monument to the mythical wizard of the Comp. Sci./Eng. Dept.,106,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B787074000B63757272656E742E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000002E00000013
2,"Across from the place of bought knowledge, lies a room of red relaxation. Come in from the south.",106,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B78707400076375622E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000005600000028
3,"As you walk into his domain, be sure to have read the FAQ before you ask any stupid questions.",106,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B78707400086D6374312E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000003000000035
1,"There is a tree in the quad that is not quite like the others, check it out.",107,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B7870740008717561642E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000004A00000076
2,Use the secret password you learned inside of the 'current' map. Who knows what will happen...,107,2,1,0xACED00057372001863726974657269612E47616D654C6F636174696F6E44544F00000000000000010200024C00076D61704E616D657400124C6A6176612F6C616E672F537472696E673B4C0008706F736974696F6E7400144C6461746174797065732F506F736974696F6E3B787074000B63757272656E742E746D78737200126461746174797065732E506F736974696F6E0000000000000001020002490006636F6C756D6E490003726F7778700000000F00000018
